round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,4.6043,0.0090,4.6041,0.0108,4.6044,0.0104
2,4.6018,0.0104,4.6016,0.0127,4.6020,0.0121
3,4.5982,0.0088,4.5979,0.0107,4.5982,0.0105
4,4.5932,0.0116,4.5919,0.0124,4.5923,0.0129
5,4.5829,0.0172,4.5821,0.0202,4.5831,0.0171
6,4.5677,0.0218,4.5654,0.0215,4.5668,0.0199
7,4.5373,0.0298,4.5366,0.0282,4.5392,0.0273
8,4.4903,0.0350,4.4939,0.0346,4.4965,0.0332
9,4.4309,0.0376,4.4297,0.0388,4.4340,0.0383
10,4.3407,0.0514,4.3353,0.0554,4.3424,0.0551
1,4.6052,0.0098,4.6046,0.0096,4.6047,0.0099
2,4.6023,0.0108,4.6020,0.0101,4.6023,0.0102
3,4.5987,0.0124,4.5986,0.0118,4.5991,0.0124
4,4.5927,0.0146,4.5927,0.0182,4.5937,0.0164
1,4.6046,0.0098,4.6049,0.0100,4.6051,0.0108
2,4.6024,0.0104,4.6027,0.0106,4.6029,0.0110
3,4.5989,0.0112,4.5995,0.0106,4.5997,0.0109
4,4.5936,0.0136,4.5942,0.0135,4.5946,0.0122
1,4.6040,0.0128,4.6038,0.0109,4.6039,0.0123
2,4.6014,0.0124,4.6012,0.0108,4.6013,0.0112
3,4.5960,0.0132,4.5965,0.0156,4.5965,0.0156
4,4.5883,0.0130,4.5886,0.0179,4.5895,0.0151
1,4.6038,0.0104,4.6037,0.0109,4.6037,0.0112
2,4.6003,0.0142,4.6005,0.0147,4.6008,0.0143
3,4.5953,0.0202,4.5953,0.0187,4.5957,0.0176
4,4.5856,0.0154,4.5858,0.0154,4.5870,0.0157
1,4.6036,0.0128,4.6036,0.0133,4.6036,0.0133
2,4.6001,0.0144,4.6001,0.0120,4.6003,0.0134
3,4.5943,0.0230,4.5944,0.0207,4.5947,0.0210
4,4.5841,0.0266,4.5840,0.0264,4.5853,0.0233
1,4.6038,0.0122,4.6037,0.0123,4.6037,0.0120
2,4.6000,0.0128,4.6000,0.0123,4.6003,0.0129
